Flight No.,Payload mass,Orbit,Customer,Launch outcome,Launch Site,PayLoad,Version Booster,Booster landing,Date,Time
71,"13,620 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5B1049.3,Success,24 May 2019,02:30
72,"4,200 kg",SSO,Canadian Space Agency,"Success
",VAFB,RADARSAT Constellation,F9 B5B1051.2,Success,12 June 2019,14:17
73,"2,268 kg",LEO,NASA,"Success
",CCAFS,SpaceX CRS-18,F9 B5B1056.2,Success,25 July 2019,22:01
74,"6,500 kg",GTO,Spacecom,"Success
",CCAFS,AMOS-17,F9 B5B1047.3,No attempt,6 August 2019,23:23
75,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Success,11 November 2019,14:56
76,"2,617 kg",LEO,NASA,"Success
",CCAFS,SpaceX CRS-19,F9 B5,Success,5 December 2019,17:29
77,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",CCAFS,JCSat-18,F9 B5B1056.3,Success,17 December 2019,00:10
78,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Success,7 January 2020,02:19:21
79,"12,050 kg",Sub-orbital,NASA,"Success
",KSC,Crew Dragon in-flight abort test,F9 B5,"No attempt
",19 January 2020,15:30
80,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Success,29 January 2020,14:07
81,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Failure,17 February 2020,15:05
82,"1,977 kg",LEO,NASA,"Success
",CCAFS,SpaceX CRS-20,F9 B5,Success,7 March 2020,04:50
83,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5,Failure,18 March 2020,12:16
84,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5,Success,22 April 2020,19:30
85,"12,530 kg",LEO,NASA,"Success
",KSC,Crew Dragon Demo-2,F9 B5,Success,30 May 2020,19:22
86,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Success,4 June 2020,01:25
87,"15,410 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Success,13 June 2020,09:21
88,"4,311 kg",MEO,U.S. Space Force,"Success
",CCAFS,GPS III,F9 B5,Success,30 June 2020,20:10:46
89,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",CCAFS,ANASIS-II,F9 B5B1058.2,Success,20 July 2020,21:30
90,"14,932 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5,Success,7 August 2020,05:12
91,"~15,440 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5B1049.6,Success,18 August 2020,14:31
92,"3,130 kg",SSO,CONAE,"Success
",CCAFS,SAOCOM 1B,F9 B5,Success,30 August 2020,23:18
93,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5B1060.2,Success,3 September 2020,12:46:14
94,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5B1058.3,Success,6 October 2020,11:29:34
95,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5B1051.6,Success,18 October 2020,12:25:57
96,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5,Success,24 October 2020,15:31:34
97,"4,311 kg",MEO,USSF,"Success
",CCAFS,GPS III,F9 B5,Success,5 November 2020,23:24:23
98,"~12,500 kg",LEO,NASA,"Success
",KSC,Crew-1,F9 B5,Success,16 November 2020,00:27
99,"1,192 kg",LEO,NASA,"Success
",VAFB,Sentinel-6 Michael Freilich (Jason-CS A),F9 B5,Success,21 November 2020,17:17:08
100,"15,600 kg",LEO,SpaceX,"Success
",CCAFS,Starlink,F9 B5 ♺,Success,25 November 2020,02:13
101,"2,972 kg",LEO,NASA,"Success
",KSC,SpaceX CRS-21,F9 B5 ♺,Success,6 December 2020,16:17:08
102,"7,000 kg",GTO,Sirius XM,"Success
",CCSFS,SXM-7,F9 B5 ♺,Success,13 December 2020,17:30:00
103,C,LEO,NRO,"Success
",KSC,NROL-108,F9 B5 ♺,Success,19 December 2020,14:00:00
104,"3,500 kg",GTO,Türksat,"Success
",CCSFS,Türksat 5A,F9 B5,Success,8 January 2021,02:15
105,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5B1051.8,Success,20 January 2021,13:02
106,"~5,000 kg",SSO,,"Success
",CCSFS,Transporter-1,F9 B5B1058.5,Success,24 January 2021,15:00
107,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5 ♺,Success,4 February 2021,06:19
108,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5 ♺,Failure,16 February 2021,03:59:37
109,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5 ♺,Success,4 March 2021,08:24
110,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5 ♺,Success,11 March 2021,08:13:29
111,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5 ♺,Success,14 March 2021,10:01
112,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5B1060.6,Success,24 March 2021,08:28
113,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5 ♺,Success,7 April 2021,16:34
114,"~13,000 kg",LEO,NASA,"Success
",KSC,Crew-2,F9 B5B1061.2,Success,23 April 2021,9:49
115,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5B1060.7,Success,29 April 2021,03:44
116,"15,600 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5B1049.9,Success,4 May 2021,19:01
117,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5B1051.10,Success,9 May 2021,06:42
118,"~14,000 kg",LEO,SpaceX,"Success
",KSC,Starlink,F9 B5B1058.8,Success,15 May 2021,22:56
119,"15,600 kg",LEO,SpaceX,"Success
",CCSFS,Starlink,F9 B5B1063.2,Success,26 May 2021,18:59
120,"3,328 kg",LEO,NASA,"Success
",KSC,SpaceX CRS-22,F9 B5B1067.1,Success,3 June 2021,17:29
121,"7,000 kg",GTO,Sirius XM,"Success
",CCSFS,SXM-8,F9 B5,Success,6 June 2021,04:26
